element,M,Ei,R,TM,N
Li,152,520.22,1,159.3,6.94
Be,111.3,899.5,2,324,9.0122
Na,186,495.85,1,107.5,22.99
Mg,160,737.75,2,147.1,24.305
Al,143.1,577.54,3,330.9,26.982
K,232,418.81,1,89,39.098
Ca,197,589.83,2,177.8,40.078
Sc,162,633.09,3,377.7,44.956
Ti,147,658.81,4,473,47.867
V,134,650.91,5,514.2,50.942
Cr,128,652.87,6,396.6,51.996
Mn,127,717.27,7,280.7,54.938
Fe,126,762.47,8,416.3,55.845
Co,125,760.4,9,424.7,58.933
Ni,124,737.14,8,429.7,58.693
Cu,128,745.48,11,337.4,63.546
Zn,134,906.4,12,130.4,65.38
Ga,135,578.84,13,271.96,69.723
Ge,128,762.18,14,372,72.63
Rb,248,403.03,1,80.9,85.468
Sr,215,549.47,2,164,87.62
Y,180,599.88,3,515.5,88.906
Zr,160,640.07,2,608.8,91.22
Nb,146,652.13,4,725.9,92.91
Mo,139,684.31,6,658.1,95.94
Ru,134,710.18,8,642.7,101.07
Rh,134,719.67,9,556.9,102.91
Pd,137,804.39,10,378.2,106.42
Ag,144,730.99,11,246,107.87
Cd,148.9,867.77,12,111.8,112.41
In,140,558.3,13,243,114.82
Sn,151,708.58,14,301.2,118.71
Sb,145,830.58,15,264.4,121.76
Cs,265,375.7,1,76.5,132.91
Ba,217.3,502.85,2,179.1,137.33
Hf,159,658.52,2,619.2,178.49
Ta,146,728.42,3,782,180.95
W,139,758.76,4,849.4,183.84
Re,137,658.52,5,619.2,186.21
Os,135,814.16,6,791,190.23
Ir,135.5,865.18,9,665.3,192.22
Pt,138.5,864.39,10,565.3,195.08
Au,144,890.12,11,366.1,196.97
Hg,151,1007.1,12,61.38,200.59
La,183,538.09,3,431,138.91
Ce,181.8,534.4,4,423,140.12
Pr,182.4,528.06,5,355.6,140.91
Nd,181.4,533.08,6,327.6,144.24
Sm,180.4,544.53,8,206.7,150.36
Eu,208.4,547.11,9,175.3,151.96
Gd,180.4,593.37,10,397.5,157.25
Tb,177.3,573.02,11,388.7,158.93
Dy,178.1,573.02,12,290.49,162.5
Ho,176.2,580.99,13,300.8,164.93
Er,176.1,589.3,14,317.1,167.26
Tm,175.9,596.69,15,232.2,168.93
Yb,193.3,603.44,16,152.3,173.05
Lu,173.8,523.52,17,427.6,174.97
